,lr,betas,filters,pool_size,fully_connected,drop,train_loss,validation_loss,loss_diff,train_precision,validation_precision,train_recall,validation_recall,train_f1_score,validation_f1_score,epoch_time
0,0.0018,"(0.9, 0.99)","(64, 8)",2,50,0.0,2.5177517002105714,2.581644307999384,0.06389260778881267,0.33203653400812594,0.2641829283584185,0.355575,0.2886875,0.3345752315135069,0.27019928313057184,8.795859682559968
1,0.003,"(0.9, 0.99)","(64, 8)",2,50,0.0,2.5072808727264406,2.5650729300483825,0.057792057321941925,0.3589351648045308,0.3024797613390025,0.36596249999999997,0.305,0.3506684938641123,0.2908667302662282,8.607902932167054
2,0.0018,"(0.9, 0.99)","(64, 8)",2,50,0.2,2.5622553215026858,2.5789726045396595,0.01671728303697373,0.35428365187248023,0.3601214692108529,0.30848125000000004,0.292125,0.29242860990778025,0.2775401023872731,8.819321835041046
3,0.003,"(0.9, 0.99)","(64, 8)",2,50,0.2,2.5917017318725586,2.603001390184675,0.011299658312116545,0.3265193280389096,0.3187529471803184,0.27726249999999997,0.26575000000000004,0.25991057194493805,0.2485793105529993,8.966284310817718
4,0.0018,"(0.9, 0.99)","(64, 8)",2,50,0.4,2.6263723052978514,2.6367124073089117,0.010340102011060281,0.35128298834514526,0.3190231870215131,0.2433125,0.23187500000000003,0.23557080340890166,0.2194077274670859,8.88913859128952
5,0.003,"(0.9, 0.99)","(64, 8)",2,50,0.4,2.762004949951172,2.7604517785329667,-0.0015531714182053236,0.3276305017227956,0.3351853547020103,0.11036875000000002,0.11193750000000001,0.0854275571650791,0.08756253383065549,8.961769354343414
6,0.0018,"(0.9, 0.99)","(64, 8)",2,100,0.0,2.51173338432312,2.5840844199770974,0.07235103565397738,0.366115175879275,0.2825622020742725,0.36186874999999996,0.28525,0.3450901337405613,0.2690914277292684,8.773988044261932
7,0.003,"(0.9, 0.99)","(64, 8)",2,100,0.0,2.523827727508545,2.5824416932605563,0.0586139657520115,0.3593886187876527,0.29714579180871126,0.34876875,0.28775,0.3331749736306507,0.2738060609055951,8.822033715248107
8,0.0018,"(0.9, 0.99)","(64, 8)",2,100,0.2,2.5683897903442383,2.5824918065752303,0.014102016230991943,0.33790539451690754,0.3210252229267964,0.30203125,0.28693749999999996,0.29107937782225457,0.2740291586501097,8.898290479183197
9,0.003,"(0.9, 0.99)","(64, 8)",2,100,0.2,2.5966221313476563,2.6092211443280418,0.01259901298038546,0.35515142314283327,0.35219770604624046,0.273775,0.26,0.264213050662441,0.24863685639364763,8.83705289363861
